,clean_text,positif,negatif,sentimen
0,bekas seleb tiktok juyy putri urus hukum gelar pesta ulang buah hotel bekas jawa barat laksana ppkm juyy putri panggil polisi panggil ambil langkahlangkah wakapolres metro bekas kota akbp alf nurizzal detikcom polisi periksa juyy putri kait pesta ulang alf beber hasil periksa hadap terang alf sidang lusa juyy putri panggil satpol pp kota bekas manajemen hotel tegur kait pesta ultah juyy putri baca buntut pesta ultah ppkm seleb tiktok bekasieo sidang lusa kait viralnya giat perintah kabid gakda tegur manajemen nama hotel kasatpol pp kota bekas abi hurairah abi laku usut kait duga langgar ppkm laku juyy putri juyy putri kelola hotel event organizer sidang gelar pesta ultah juyy putri gelar pesta ulang ulang raya undang teman buah hotel bintang kota bekas dasar video edar seleb tiktok juyy putri kena gaun warna pink lihat masuk ballroom hotel setting pesta ulang tema pink baca viral seleb tiktok gelar ultah ppkm satpol pp bekas tegur hotel lihat tamu undang hadir juyy putri lihat pakai masker isamei bekas jawa barat tiktok seleb tiktok gelar pesta ultah ppkm pesta ulang,0.022598870056497175,0.1638418079096045,0
1,jakarta pandemi virus corona covid langsung indonesia timbul krisis ekonomi sisi pasar mobil bekas mobkas masyarakat jual mobil pribadi beli mobkas pandemi giat mobilitas manusia batas pandemi awalawal hingga perintah laksana program batas sosial tekan tular virus corona psbb batas sosial skala besar ppkm laku batas giat masyarakat baca ppkm darurat dagang mobkas gulung tikar country head carsome indonesia delly nugraha program psbb ppkm industri jual mobil bekas dampak orang tahan beli mobil jual mobil lihat pemberlakuanppkm orang jual mobil bekas beli mobil bekas dampak marketnya kena duaduanya duaduanya kondisi baikbaik delly konferensi pers virtual delly laku batas giat masyarakat laku orang tahan beli mobil showroomshowroom mobkas alas atur perintah tatap langsung beli ilustrasi dealer mobil bekas bimmerhaus fokus jual bmw bekas foto muhammad hafizh gemilang lihat sudut pandang carsome orang pengin jual mobil lihat turun turun tahan proses jual mobil orang nyaman laku ppkm ketemu inspector tatap muka orang beli utara customercustomer ketemu kasih gambar raguragu dampak sambung delly baca jual mobkas wacana mobil tak masuk jakarta kondisi rupa konsumen beli mobil bekas tahan beli pandemi langsung rumah beli kendara prioritas beli mobil bekas ppkm orang cenderung tahan beli mobil bekas beli butuh mobilisasi batas kerja rumah anakanak sekolah rumah niat beli tunda tak ppkm darurat psbb fenomena ulang tukas lualth mobil bekas mobkas pandemi virus corona carsome indonesia psbb ppkm jual mobil bekas,0.09333333333333334,0.13333333333333333,0
2,bandung gubernur jawa barat ridwan kamil buka terima kritik khusus kait tangan covid koreksi sopan basis data nyata pria akrab sapa kang emil gelar diskusi ppkm elemen mahasiswa gabung cipayung plus virtual kritik sopan santun kritik basis data emil baca geliat vaksinasi fosil gajah purba kang emil kritik tuju perintah basis data kritik banding kondisi negeri negeri bias fakta kayak singapura bukti singapura lockdown vietnam dipujipuji vietnam keteter vaksin lihat euro sepakbola piala eropa iri situasi paham mahasiswa kang emil salah kena persentase vaksinasi jabar rendah tabayun lihat angkaangka media vaksinasi rendah kasih juta manusia persentase banding juta manusia emil halaman ridwan kamil mahasiswa mahasiswa bandung bandung birojabar,0.08333333333333333,0.16666666666666666,0
3,jakarta choky andriano angkat bicara kait tuding selingkuh intan permata istri choky icha pisah rumah lepas cincin kawin klarifikasi choky teman intan tuding selingkuh intan choky tak intan teman nggak hubung selingkuh bohong nggak choky andriano kopi viral trans tv teman nggak hubung hubung spesial intan nggak choky tak dipungkiri jumpa intan temu tak izin icha baca cium wanita choky andriano maaf puji istri ketemu intan izin nggak istri nggaklah choky temu intan istri choky hubung intan teman ketemu janji reuni ppkm jelasin media teman nggak hubung beber choky pacar intan jalan cinta intan sebentar sebentar nggak duludulu pungkas baca isu selingkuh choky andriano bintang angling dharma selingkuh choky andriano rebak kabar istri hal unggah orang selebgram nama intan permata foto lihat mesra choky andriano choky andriano cubit mesra pipi intan foto bintang sinetron angling dharma cium intan caption tulis intan permata romantis choky andriano tak mudah posisi benarbenar suka choky tau posisi ku mudah semangat kuat sedih ku tulis intan fbrmau choky andriano icha istri choky andriano intan permata intan permata selingkuh choky andriano selingkuh,0.10795454545454546,0.07386363636363637,1
4,bekas satpol pp kota bekas menindaklanjuti informasi viral kait pesta ulang seleb tiktok juyy putri gelar ppkm darurat seleb tiktok juyy putri hingga event organizer eo sidang kait langgar ppkm kasatpol pp kota bekas abi panggil juyy putri eo eo seleb tiktok ikan panggil sidang lusa abi terang eo juyy putri satpol pp kota bekas agenda sidang manajemen hotel manajemen hotel kait hal tegur manajemen hotel laksana sidang bekas utara abi pesta ulang seleb tiktok gelar satpol pp kota bekas tamu undang hadir tanggal monitor baca viral seleb tiktok gelar ultah ppkm satpol pp bekas tegur hotel viral medsos video seleb tiktok juyy putri gelar pesta ulang ppkm viral media sosial pesta ulang gelar buah hotel kawasan kota bekas dasar video edar seleb tiktok juyy putri pakai gaun warna merah muda lihat masuk ballroom hotel setting pesta ulang tema serba pink lihat tamu undang hadir juyy putri lihat pakai masker baca pelat mobil langgar atur selebgram herlin kenza sanksi tilang meafjp seleb tiktok seleb tiktok juyy putri juyy putri ppkm darurat satpol pp kota bekas bekas,0.017045454545454544,0.14204545454545456,0
5,surabaya orang spekulan tabung oksigen surabaya tangkap jual harga ecer het jual tabung oksigen curang temu tim intelijen jaksa negeri kejar surabaya kepala kejar surabaya anton delianto pria aman inisial a seharihari a rupa pegawai usaha alat sehat pt fm daerah mulyorejo anton pegawai jual tabung oksigen ukur m liter harga rp juta harga normal rp juta baca ngeri set tabung oksigen kubik kalong capai rp juta jual tabung oksigen harga wajar juta tabung ukur m terang anton wartawan temu tim intelijen cek beli unit tabung ukur m nilai rp juta tak laku langsung aman tim pidsus kejar surabaya tim laku undercover buy unit tabung oksigen hasil aman laku koordinasi polrestabes surabaya anton baca obatoksigen jual mahal online ppkm darurat laku serah satreskrim polrestabes surabaya laku proses hukum imbuh anton giat tindak rupa perintah jaksa agung perintah wujud partisipasi awas spekulan harga obat alat sehat pandemi covid sesuai perintah jaksa agung ri dukung ppkm level laku tindak hadap orang usaha timbun main harga hambat distribusi obatobatan alat sehat kait tangan covid anton iwdiwd oksigen oksigen medis tabung oskigen spekulan harga ecer het kejar surabaya covid birojatim,0.0913978494623656,0.0967741935483871,0
6,cirebon pimpin dprd kota cirebon jawa barat usul gedung dprd isolasi pasien covid pemkot timbang kaji usul pemkot cirebon upaya optimal isolasi sekretaris daerah sekda kota cirebon agus mulyadi koordinasi resmi dprd kait usul milik bkkbn usul dprd hitung tidur logistik toilet pisah aman bahas gedung isolasi variabel bahas agus awak media kantor bahas terima kasih temanteman dewan usul opsi bahas agus agus pemkot cirebon jalin kerja hotel langensari rencana agustus hotel langensari isolasi mandiri langensari minimal tampung pasien kamar masuk makan minum agus dprd usul gedung isolasi tuju ringan apbd agus apbd bayar isolasi hotel onos langensari bilang september mudahmudahan anggar batas utama layan sehat baca salut kedai bakmi cirebon kirim makan gratis pasien isoman agus pemkot cirebon sedia hotel isolasi onos langensari masingmasing hotel sedia kamar pemkot kerja rs budi luhur isolasi kapasitas kamar kantor bkkbn bed agus wakil ketua dprd kota cirebon fitria pamungkaswati dukung gedung dprd isolasi gedung dprd ideal isolasi timbang pemda uang kolaps mending ready tinggal ekstra bed teknis bicara prinsip dukung gantung pemda politikus pdi juang wakil ketua dprd kota cirebon m handarujati kalamullah usul gedung dprd isolasi pasien covid gejala ringan upaya ringan beban apbd tangan pandemi covid hingga covid landai perintah ppkm usul gedung dprd isolasi warga positif covid gejala ringan handarujati terang terima mudmud cirebon birojabar dprd cirebon isolasi,0.1141552511415525,0.1278538812785388,0
7,kendal polres kendal jawa posko pasar sehat posko layan sehat hingga vaksinasi covid dagang beli pasar polres kendal gagas posko pasar sehat dukung bupati kendal dandim kendal bantu perintah tekan angka sebar covid utama kendal kapolres kendal akbp arief yuniarto temu pasar pagi kaliwungu giat laku posko pasar sehat layan sehat dagang beli pasar periksa sehat rupa cek suhu periksa tekan darah hingga vaksinasi laku sistem jemput bola laku periksa sehat hadap dagang beli periksa rupa cek suhu tubuh hingga vaksinasi baca dinas pariwisata sleman genjot vaksinasi destinasi wisata vaksinasi terap one gate system layan pintu vaksinasi pasarpasar tradisional langkah laku layan vaksin dagang beli transaksi sistem vaksinasi pasarpasar tradisional one gate system salah pasar pagi kaliwungu proteksi dagang beli transaksi pasar vaksin layan bentuk sistem kebal tubuh lingkung pasar tradisional terang arief layan posko pasar sehat dlakukan titik pasar kendal serentak hingga tanggal agustus posko pasar sehat buka serentak titik pasar kendal hingga ppkm level selesai tanggal agustus jam buka posko pasar sehat jam wib hingga wib baca dine in batas menit ganjar terang sulit salah dagang anik bantu layan posko pasar sehat senang posko pasar sehat bantu manfaat kondisi sedia vaksin gratis anik harap posko ppkm level selesai layan sehat butuh harap rihams polres kendal kendal posko pasar sehat vaksinasi vaksin corona birojatengdiy,0.11627906976744186,0.037209302325581395,1
8,jakarta ashanty cerita detikdetik putra bungsu arsya hermansyah papar virus covid duga arsya virus corona saudara rumah hal ashanty temu kawasan pondok indah jakarta selatan ashanty arsya hermansyah orang positif covid arsya kemarin covid kena nggak rumah ppkm sekolah nggak les nggak ashanty baca nyata putra bungsu anangashanty positif covid saudara saudara positif arsya tular nggak sambung ashanty arsya hermansyah papar covid arsya hermansyah alam demam kondisi jalan isolasi mandiri demam sisa aktif makan gemuk ashanty baca vanessa angel cerita tangkap prostitusi sehat isolasi sampak biar aman istri anang hermansyah ashanty syukur tak gejala berat alami putra bungsu untung urus butuh arsya hermansyah urusin nggak gejala berat flu batuk demam imbuh ashanty baca cerita alas mualaf daniella kharishma bikin orang singgung kemarin aurel arsy kena covid arsy nggak imun imun vaksin rentan kena anang nggak badan kuat pungkas papar arsya hermansyah virus corona cerita ashanty channel youtubenya memberitahu publik tak panik orang simak video ashanty kesal anang hermansyah berita tinggal dunia gambasvideo detik hnhwes ashanty anang hermansyah arsya hermansyah covid arsya hermansyah arsya hermansyah positif covid arsya hermansyah positif corona,0.08333333333333333,0.10555555555555556,0
9,malang kepala badan pelihara aman kabaharkam polri komjen pol arief sulistyanto puji tangan covid kota malang hal arief dengar papar langsung wali kota sutiaji balai kota malang arief kota malang lihat langsung tangan laju sebar covid pantau laksana ppkm level kota malang tinjau laksana kelola tanggulang pandemi covid kota malang komjen arief wartawan balai kota malang jalan tugu arief dengar papar wali kota malang sutiaji kait langkahlangkah putus rantai covid katak wali kota malang jajar forkopimda kolaboratif bangun sinergitas selamat masyarakat pandemi covid arief langkah tangan covid kota malang komprehensif proses cepat baca satgas wantiwanti provinsi jawabali corona dukung sadar warga masyarakat patuh protokol sehat perintah laku isolasi bantu obatobatan bansos kendala tanggulang covid sambung tanggulang covid rupa tanggung virus covid lihat status orang virus serang tekan warga masyarakat patuh protokol sehat m pesan arief tangan covid kota malang arief tanggung tanggung wali kota malang komponen masyarakat bersamasama bahumembahu komprehensif tanggulang covid kota malang tutup baca jubir wapres isu bentur maruf amin khofifah wali kota sutiaji papar enam pilar kuat rtrw tangguh ppkm mikro apresiasi kabaharkam tangguh pangan tangguh sehat tangguh tertib aman tangguh informasi psikologis tangguh budaya kabaharkam potret ppkm mikro paham jenis ppkm kuat tingkat rt rw laku replika daerahdaerah kuat tangan aspek dampak sinergi humanis aspiratif disiplin sutiaji pisah fatfat covid covid malang ppkm darurat ppkm darurat wali kota malang sutiaji kabaharkam,0.13333333333333333,0.1688888888888889,0
